maturities,6
strikes,10
maturities\strikes,2395.95,type,2545.69,type,2695.44,type,2770.31,type,2845.19,type,2920.06,type,2994.93,type,3069.81,type,3144.68,type,3294.43,type
16-9-2005,618.4623,c,470.9353,c,327.0646,c,257.695,c,192.0161,c,132.3012,c,81.4841,c,42.6089,c,17.4779,c,1.4766,c
17-3-2006,693.1431,c,561.4132,c,437.5013,c,375.8404,c,316.5067,c,260.0595,c,207.1578,c,158.5922,c,115.2855,c,56.6197,c
15-12-2006,819.6421,c,701.7855,c,589.762,c,530.7652,c,472.9312,c,416.476,c,361.6431,c,308.7341,c,258.1358,c,179.9693,c
21-12-2007,983.3817,c,876.1702,c,772.7333,c,715.4306,c,658.5769,c,602.2667,c,546.5964,c,491.6866,c,437.7031,c,351.4538,c
18-12-2009,1252.974,c,1158.019,c,1064.724,c,1009.819,c,954.7453,c,899.5325,c,844.2014,c,788.7793,c,733.3156,c,644.431,c
21-12-2012,1578.55,c,1497.07,c,1415.799,c,1365.134,c,1313.926,c,1262.185,c,1209.91,c,1157.099,c,1103.764,c,1019.677,c
